"NFK": Xmin=167.91095   ;Xmax=167.99887   ;Ymin=-29.08111  ;Ymax=-29.00056  ;
"NGA": Xmin=2.6925      ;Xmax=14.64965    ;Ymin=4.27285    ;Ymax=13.8915    ;
"NIC": Xmin=-87.68983   ;Xmax=-83.13185   ;Ymin=10.70969   ;Ymax=15.02222   ;
"NIU": Xmin=-169.95224  ;Xmax=-169.78156  ;Ymin=-19.14556  ;Ymax=-18.96333  ;
"NLD": Xmin=3.37087     ;Xmax=7.21097     ;Ymin=50.75388   ;Ymax=53.46583   ;
"NOR": Xmin=4.78958     ;Xmax=31.07354    ;Ymin=57.98792   ;Ymax=71.15471   ;
"NPL": Xmin=80.0522     ;Xmax=88.19456    ;Ymin=26.36836   ;Ymax=30.42472   ;
"NRU": Xmin=166.90442   ;Xmax=166.95705   ;Ymin=-0.55222   ;Ymax=-0.49333   ;
"NZL": Xmin=165         ;Xmax=179         ;Ymin=-52.57806  ;Ymax=-34.41472  ;
"OMN": Xmin=51.99929    ;Xmax=59.84708    ;Ymin=16.64278   ;Ymax=26.36871   ;
"PAK": Xmin=60.8663     ;Xmax=77.82393    ;Ymin=23.68805   ;Ymax=37.06079   ;
"PAN": Xmin=-83.03029   ;Xmax=-77.19833   ;Ymin=7.20611    ;Ymax=9.62014    ;
"PCN": Xmin=-130.10506  ;Xmax=-128.28612  ;Ymin=-25.08223  ;Ymax=-24.32584  ;
"PER": Xmin=-81.35515   ;Xmax=-68.6739    ;Ymin=-18.34855  ;Ymax=-0.03687   ;
"PHL": Xmin=116.95      ;Xmax=126.59804   ;Ymin=5.04917    ;Ymax=19.39111   ;
"PLW": Xmin=134.48523   ;Xmax=134.65887   ;Ymin=7.35444    ;Ymax=7.72944    ;
"PNG": Xmin=140.85886   ;Xmax=155.96684   ;Ymin=-11.6425   ;Ymax=-1.35528   ;
"POL": Xmin=14.14764    ;Xmax=24.14347    ;Ymin=49.00291   ;Ymax=54.83604   ;
"PRI": Xmin=-67.2664    ;Xmax=-65.30112   ;Ymin=17.92222   ;Ymax=18.51944   ;
